Time,Open,High,Low,Close,Volume
2021-02-25T21:33+01:00[Europe/Zurich],0.032064,0.03211,0.032042,0.032099,281.406
2021-02-25T21:34+01:00[Europe/Zurich],0.032099,0.03213,0.032099,0.032115,242.806
2021-02-25T21:35+01:00[Europe/Zurich],0.032115,0.032148,0.032058,0.032147,219.164
2021-02-25T21:36+01:00[Europe/Zurich],0.032149,0.032149,0.032113,0.032137,171.092
2021-02-25T21:37+01:00[Europe/Zurich],0.032133,0.032142,0.032108,0.032123,111.031
2021-02-25T21:38+01:00[Europe/Zurich],0.032121,0.032143,0.032091,0.0321,337.799
2021-02-25T21:39+01:00[Europe/Zurich],0.032113,0.032125,0.032084,0.032121,104.837
2021-02-25T21:40+01:00[Europe/Zurich],0.032121,0.032128,0.032087,0.032099,185.581
2021-02-25T21:41+01:00[Europe/Zurich],0.032099,0.032112,0.032079,0.032085,452.82
2021-02-25T21:42+01:00[Europe/Zurich],0.032086,0.032101,0.032076,0.032089,175.749
2021-02-25T21:43+01:00[Europe/Zurich],0.032089,0.032106,0.032068,0.032087,361.507
2021-02-25T21:44+01:00[Europe/Zurich],0.032099,0.032102,0.03206,0.032069,138.615
2021-02-25T21:45+01:00[Europe/Zurich],0.03207,0.032076,0.032033,0.032072,196.736
2021-02-25T21:46+01:00[Europe/Zurich],0.032073,0.032073,0.032051,0.032063,120.584
2021-02-25T21:47+01:00[Europe/Zurich],0.032061,0.032078,0.032048,0.032048,384.473
2021-02-25T21:48+01:00[Europe/Zurich],0.032048,0.032067,0.032048,0.032056,193.621
2021-02-25T21:49+01:00[Europe/Zurich],0.03206,0.032078,0.032052,0.032073,190.659
2021-02-25T21:50+01:00[Europe/Zurich],0.032073,0.032115,0.032073,0.032115,165.824
2021-02-25T21:51+01:00[Europe/Zurich],0.032114,0.032127,0.032094,0.032107,255.986
2021-02-25T21:52+01:00[Europe/Zurich],0.032107,0.03211,0.03209,0.032101,96.329
2021-02-25T21:53+01:00[Europe/Zurich],0.032099,0.032104,0.032066,0.032066,279.443
2021-02-25T21:54+01:00[Europe/Zurich],0.032064,0.032071,0.032042,0.032055,92.876
2021-02-25T21:55+01:00[Europe/Zurich],0.03205,0.03208,0.032045,0.03208,124.135
2021-02-25T21:56+01:00[Europe/Zurich],0.032081,0.032094,0.032061,0.032061,143.311
2021-02-25T21:57+01:00[Europe/Zurich],0.032058,0.032058,0.032035,0.032047,168.308
2021-02-25T21:58+01:00[Europe/Zurich],0.032047,0.032072,0.032039,0.032071,79.423
2021-02-25T21:59+01:00[Europe/Zurich],0.032071,0.032073,0.032053,0.032056,113.711
2021-02-25T22:00+01:00[Europe/Zurich],0.032057,0.032069,0.032048,0.032055,90.55
2021-02-25T22:01+01:00[Europe/Zurich],0.032055,0.032074,0.032039,0.032066,125.258
2021-02-25T22:02+01:00[Europe/Zurich],0.03206,0.032073,0.032037,0.032061,67.807
2021-02-25T22:03+01:00[Europe/Zurich],0.032062,0.032062,0.032038,0.032039,95.515
2021-02-25T22:04+01:00[Europe/Zurich],0.032039,0.03204,0.032011,0.032018,91.097
2021-02-25T22:05+01:00[Europe/Zurich],0.032015,0.032049,0.032015,0.032025,122.069
2021-02-25T22:06+01:00[Europe/Zurich],0.03203,0.032043,0.032027,0.032033,53.503
2021-02-25T22:07+01:00[Europe/Zurich],0.032033,0.032036,0.032022,0.032029,91.106
2021-02-25T22:08+01:00[Europe/Zurich],0.032027,0.032037,0.032014,0.03202,163.432
2021-02-25T22:09+01:00[Europe/Zurich],0.03202,0.032045,0.032015,0.032031,139.789
2021-02-25T22:10+01:00[Europe/Zurich],0.032029,0.03203,0.032016,0.032019,147.458
2021-02-25T22:11+01:00[Europe/Zurich],0.032019,0.032031,0.032011,0.032029,143.732
2021-02-25T22:12+01:00[Europe/Zurich],0.032029,0.032059,0.032025,0.032059,86.776
2021-02-25T22:13+01:00[Europe/Zurich],0.032059,0.032069,0.032047,0.03205,76.814
2021-02-25T22:14+01:00[Europe/Zurich],0.032054,0.032054,0.032027,0.032043,97.296
2021-02-25T22:15+01:00[Europe/Zurich],0.032043,0.032059,0.032037,0.032059,92.118
2021-02-25T22:16+01:00[Europe/Zurich],0.032057,0.032066,0.032042,0.032049,132.103
2021-02-25T22:17+01:00[Europe/Zurich],0.032052,0.032073,0.032052,0.032067,143.995
2021-02-25T22:18+01:00[Europe/Zurich],0.03207,0.032111,0.032067,0.032091,163.336
2021-02-25T22:19+01:00[Europe/Zurich],0.03209,0.032128,0.032082,0.032089,259.594
2021-02-25T22:20+01:00[Europe/Zurich],0.032089,0.032104,0.032063,0.032071,177.372
2021-02-25T22:21+01:00[Europe/Zurich],0.032071,0.032087,0.032061,0.032084,120.782
2021-02-25T22:22+01:00[Europe/Zurich],0.032083,0.032088,0.032042,0.032044,150.669
2021-02-25T22:23+01:00[Europe/Zurich],0.032047,0.032132,0.032022,0.032132,395.637
2021-02-25T22:24+01:00[Europe/Zurich],0.032128,0.032165,0.032111,0.032115,321.715
2021-02-25T22:25+01:00[Europe/Zurich],0.032115,0.032127,0.032097,0.03211,184.983
2021-02-25T22:26+01:00[Europe/Zurich],0.032104,0.032108,0.032083,0.032094,121.366
2021-02-25T22:27+01:00[Europe/Zurich],0.032093,0.032105,0.032085,0.032105,56.703
2021-02-25T22:28+01:00[Europe/Zurich],0.032101,0.032103,0.032087,0.03209,48.895
2021-02-25T22:29+01:00[Europe/Zurich],0.032089,0.032122,0.032082,0.032111,76.457
2021-02-25T22:30+01:00[Europe/Zurich],0.032111,0.032117,0.032093,0.032109,93.632
2021-02-25T22:31+01:00[Europe/Zurich],0.032109,0.032109,0.032058,0.032058,146.876
2021-02-25T22:32+01:00[Europe/Zurich],0.032057,0.032076,0.032048,0.032066,83.76
2021-02-25T22:33+01:00[Europe/Zurich],0.03206,0.032072,0.032037,0.032047,98.139
2021-02-25T22:34+01:00[Europe/Zurich],0.032042,0.032049,0.031996,0.032012,296.385
2021-02-25T22:35+01:00[Europe/Zurich],0.032009,0.032032,0.032004,0.032025,188.504
2021-02-25T22:36+01:00[Europe/Zurich],0.032025,0.032025,0.031928,0.031932,364.886
2021-02-25T22:37+01:00[Europe/Zurich],0.031927,0.031945,0.031894,0.031928,339.178
2021-02-25T22:38+01:00[Europe/Zurich],0.031928,0.031929,0.03188,0.031889,208.084
2021-02-25T22:39+01:00[Europe/Zurich],0.031893,0.031917,0.031881,0.031902,174.799
2021-02-25T22:40+01:00[Europe/Zurich],0.031904,0.031907,0.031817,0.031855,501.032
2021-02-25T22:41+01:00[Europe/Zurich],0.031863,0.031868,0.0318,0.031804,386.036
2021-02-25T22:42+01:00[Europe/Zurich],0.031803,0.03183,0.0318,0.031801,370.63
2021-02-25T22:43+01:00[Europe/Zurich],0.0318,0.03185,0.031781,0.031831,398.241
2021-02-25T22:44+01:00[Europe/Zurich],0.031832,0.031854,0.031783,0.031793,153.822
2021-02-25T22:45+01:00[Europe/Zurich],0.031792,0.031829,0.03178,0.031813,381.285
2021-02-25T22:46+01:00[Europe/Zurich],0.031817,0.031831,0.03178,0.03178,413.26
2021-02-25T22:47+01:00[Europe/Zurich],0.03178,0.031782,0.031716,0.031752,398.734
2021-02-25T22:48+01:00[Europe/Zurich],0.031751,0.031799,0.031711,0.031736,299.551
2021-02-25T22:49+01:00[Europe/Zurich],0.031732,0.031753,0.03168,0.031681,554.322
2021-02-25T22:50+01:00[Europe/Zurich],0.031686,0.031731,0.031675,0.031676,348.233
2021-02-25T22:51+01:00[Europe/Zurich],0.031679,0.031738,0.031664,0.0317,260.831
2021-02-25T22:52+01:00[Europe/Zurich],0.0317,0.031793,0.031697,0.031756,167.704
2021-02-25T22:53+01:00[Europe/Zurich],0.031757,0.031762,0.031677,0.031685,185.748
2021-02-25T22:54+01:00[Europe/Zurich],0.031685,0.031719,0.031665,0.031719,144.916
2021-02-25T22:55+01:00[Europe/Zurich],0.031725,0.031749,0.03171,0.031741,152.339
2021-02-25T22:56+01:00[Europe/Zurich],0.031743,0.031754,0.031663,0.031674,247.686
2021-02-25T22:57+01:00[Europe/Zurich],0.03168,0.031689,0.031663,0.031683,77.347
2021-02-25T22:58+01:00[Europe/Zurich],0.031686,0.031692,0.031655,0.031684,149.099
2021-02-25T22:59+01:00[Europe/Zurich],0.031681,0.031734,0.031666,0.031719,258.089
2021-02-25T23:00+01:00[Europe/Zurich],0.031713,0.03172,0.031648,0.031708,341.83
2021-02-25T23:01+01:00[Europe/Zurich],0.031708,0.031767,0.031691,0.031767,302.63
2021-02-25T23:02+01:00[Europe/Zurich],0.031764,0.031795,0.03175,0.031752,130.415
2021-02-25T23:03+01:00[Europe/Zurich],0.031748,0.031779,0.031717,0.031741,117.75
2021-02-25T23:04+01:00[Europe/Zurich],0.031737,0.031744,0.031679,0.031679,245.594
2021-02-25T23:05+01:00[Europe/Zurich],0.031679,0.031692,0.0316,0.031612,319.735
2021-02-25T23:06+01:00[Europe/Zurich],0.031615,0.031615,0.03151,0.031576,586.323
2021-02-25T23:07+01:00[Europe/Zurich],0.031587,0.031589,0.031509,0.031528,373.181
2021-02-25T23:08+01:00[Europe/Zurich],0.031523,0.031549,0.031507,0.031509,169.857
2021-02-25T23:09+01:00[Europe/Zurich],0.031509,0.031512,0.031457,0.031462,600.615
2021-02-25T23:10+01:00[Europe/Zurich],0.031463,0.031549,0.031462,0.031542,242.711
2021-02-25T23:11+01:00[Europe/Zurich],0.031543,0.031668,0.031543,0.031666,374.405
2021-02-25T23:12+01:00[Europe/Zurich],0.031665,0.031696,0.031582,0.031695,603.914
2021-02-25T23:13+01:00[Europe/Zurich],0.031696,0.031724,0.031679,0.031718,119.222
2021-02-25T23:14+01:00[Europe/Zurich],0.031718,0.031741,0.031677,0.031677,159.724
2021-02-25T23:15+01:00[Europe/Zurich],0.03167,0.031687,0.03159,0.031609,191.85
2021-02-25T23:16+01:00[Europe/Zurich],0.031609,0.031727,0.031609,0.031725,265.736
2021-02-25T23:17+01:00[Europe/Zurich],0.031725,0.031732,0.031674,0.0317,271.771
2021-02-25T23:18+01:00[Europe/Zurich],0.031699,0.031762,0.03166,0.031692,203.139
2021-02-25T23:19+01:00[Europe/Zurich],0.031704,0.031731,0.031627,0.031657,287.927
2021-02-25T23:20+01:00[Europe/Zurich],0.031657,0.031701,0.031621,0.031621,193.361
2021-02-25T23:21+01:00[Europe/Zurich],0.031622,0.031686,0.031622,0.03167,127.394
